Politician,Quote,Image URL
Kamala Harris,black women in the u s  are  three to four times more likely to die in connection with childbirth than other women,true
Byron Donalds,kamala harris  co sponsored  fully sponsored  the green new deal,true
David Crowley,under  the biden  administration we have witnessed the fastest growth of black owned small businesses in more than    years,true
Tony Evers,wisconsin had a  record breaking year  for tourism in,true
Social Media,under federal law  former president donald trump s  felony convictions mean he can no longer possess guns,true
Joe Biden,violent crime is near a record    year low,true
Tyler August,nearly     of all uw graduates stay in wisconsin   years after they graduate,true
Mark Pocan,we passed    bills last year  which is the fewest since the depression,true
Lisa Subeck,the united states is an outlier  one of only about half a dozen countries  without any guarantee of paid leave for new parents and or other health care needs,true
Brian Schimming,we ve had    elections in    years in wisconsin that have been decided by less than        votes,true
Tammy Baldwin,we re facing situations these days where you have to have two officers in the evidence room in case there s an accidental  fentanyl  exposure,true
Sarah Godlewski,when it comes to how many votes  president  joe biden won  it was literally less than a few votes per ward,true
António Guterres,gaza has  the highest number of people facing catastrophic hunger ever recorded by the integrated food security classification system   anywhere  anytime,true
Patrick Burke,the great lakes account for  over     of the world s freshwater and over     of north america s freshwater,true
Tony Evers,we re having the largest classes of correctional officers we ve ever had before,true
Elise Stefanik,we ve seen an      increase in the swanton sector  which is the part of the northern border that i represent  in illegal crossings,true
Kirsten Gillibrand,marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine,true
Chris Larson,says expanding medicaid in wisconsin would save the state      million  which could pay for       k    teachers  or     educators per district,true
Joe Biden,under joe biden  there are  record numbers of new black entrepreneurs,true
Kelda Helen Roys,minnesota incarcerates  about a third of what wisconsin does,true
Kamala Harris,postpartum medicaid coverage expanded from three states to    states because of the biden administration,true
Tammy Baldwin,wisconsin had over       opioid overdose deaths in,true
Scott Walker,the  top issue for college students is the economy,true
Tony Evers,in april last year  our state unemployment rate hit a record low of       last year  wisconsin had an all time lowest number of unemployed workers ever in modern history,true
Kamala Harris,today in america    in   women of reproductive age live in a state with an abortion ban,true
Ron DeSantis,donald trump  deported less  believe it or not  than barack obama even did,true
Nikki Haley,we ve had more americans die of fentanyl than the iraq  afghanistan  and vietnam wars  combined,true
Jill Billings,with school based professional social workers  the recommendation is     to    and in wisconsin  we re almost triple that,true
Marianne Williamson,we sell arms to     of the world s autocrats  we are the world s largest arms exporters,true
Ted Cruz,we produce a lot more wind energy in texas than california does,true
Lorraine Lewandrowski,it s not currently  legal for a new york state student to have a glass of fresh whole milk,true
Mandela Barnes,since       ceo compensation rose over        and only       for average workers,true
Tim Kaine,new haven  conn   had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement,true
Wisconsin Republican Legislative leaders,wisconsin s         budget produced the first positive general fund balance since       and the governor s proposed         budget would return it to a deficit,true
Robert Martwick,opposition to having a fully elected chicago board of education is in the  super minority,true
Greg Abbott,we now have more job openings than we do people who are on unemployment  we have     more job openings today than we did the month before the pandemic hit the state of texas,true
Lindsay James,there are more job openings than there are people on unemployment  in iowa,true
Jeff Jackson,says he was  one of the    state senators  who voted against  north carolina s body camera law,true
Kevin Kiley,san francisco had twice as many drug overdose deaths as covid deaths last year,true
Kirk Cox,on virginia s new marijuana law   you can have up to one pound with only a     fine,true
Van Wanggaard,foxconn  is the largest taxpayer in racine county,true
Zach Wahls,the federal american rescue plan will purchase more food from farmers for distribution,true
