Politician,Quote,Image URL,char_count,word_count,word_length,adv_count,adj_count,noun_count,verb_count,det_count,sentiment,named_entities,named_entities_count
Melissa Agard,potato chips  kitkat bars and viagra are not taxed in wisconsin because they are considered  essential,true,102,16,5.3125,12.0,12.0,12.0,12.0,12.0,0.0,"('wisconsin', 'GPE')",1
Melissa Agard,since       the state senate has only rejected five executive appointments  the gop today is more than doubling that number,true,123,19,5.157894736842105,15.0,15.0,15.0,15.0,15.0,-0.4588,"('the state senate', 'ORG'), ('five', 'CARDINAL'), ('gop', 'ORG'), ('today', 'DATE')",4
Instagram posts,lego donates model mri kits to hospitals to help children understand the procedure and reduce their anxiety,true,107,17,5.352941176470588,12.0,12.0,12.0,12.0,12.0,0.25,,0
Brian Krassenstein,it has been u s  policy  for at least    years  to require americans who intend to be evacuated from overseas to sign a promissory note,true,135,25,4.2,17.0,17.0,17.0,17.0,17.0,0.2263,"('at least    years', 'DATE'), ('americans', 'NORP')",2
Mike Oliverio,a few years back   mitchell stadium in bluefield  w va    was voted the best high school football field in america,true,114,20,4.45,18.0,18.0,18.0,18.0,18.0,0.6369,"('a few years', 'DATE'), ('america', 'GPE')",2
Instagram posts,beyonce paid     k for maryland metro to run later following weather delays for her concert,true,91,15,4.866666666666666,11.0,11.0,11.0,11.0,11.0,0.0,"('maryland', 'GPE')",1
Donald Trump,florida has  the highest  homeowners insurance in the nation,true,60,9,5.555555555555555,8.0,8.0,8.0,8.0,8.0,0.0,"('florida', 'GPE')",1
Facebook posts,more than      dogs showed up and lined up around the block  for a man s    th birthday celebration,true,99,18,4.055555555555555,13.0,13.0,13.0,13.0,13.0,-0.4404,,0
Instagram posts,an    year old boy saved the lives of two people on the same day,true,64,14,3.4285714285714284,11.0,11.0,11.0,11.0,11.0,0.4215,"('two', 'CARDINAL'), ('the same day', 'DATE')",2
Kelda Helen Roys,infertility is treated differently than other issues and  often excluded from insurance coverage,true,96,13,6.384615384615385,10.0,10.0,10.0,10.0,10.0,-0.34,,0
Francis Suarez,just last year   miami dade public schools  had over        new children         of which came from four countries of cuba  nicaragua  venezuela and haiti,true,154,23,4.869565217391305,15.0,15.0,15.0,15.0,15.0,0.0,"('just last year', 'DATE'), ('miami dade', 'GPE'), ('four', 'CARDINAL'), ('cuba', 'GPE'), ('nicaragua', 'GPE'), ('venezuela', 'GPE'), ('haiti', 'GPE')",7
Tim Scott,for african american families in particular  the homeownership rate remains relatively unchanged since       the year the fair housing act was signed into law,true,158,23,5.608695652173913,19.0,19.0,19.0,19.0,19.0,0.3182,"('african american', 'NORP'), ('the year', 'DATE')",2
Robin Vos,when a basketball player or football or baseball player from another team plays in wisconsin  that one game s salary  they pay wisconsin income tax on it      so  if for some reason we do not have the brewers in wisconsin all of those player salaries that generate dollars for the state of wisconsin go away,true,307,55,4.454545454545454,37.0,37.0,37.0,37.0,37.0,0.1531,"('wisconsin', 'GPE'), ('one', 'CARDINAL'), ('wisconsin', 'GPE'), ('wisconsin', 'GPE')",4
Facebook posts,if you need girl scout cookies this year and don t have a local troop to support  please consider buying from troop       which is entirely made up of girls living in nyc s homeless shelters,true,190,35,4.257142857142857,26.0,26.0,26.0,26.0,26.0,0.6124,"('this year', 'DATE'), ('don', 'PERSON')",2
Jonathan Martin,joe biden was older on his first day as president than ronald reagan was on his last day,true,88,18,3.9444444444444446,11.0,11.0,11.0,11.0,11.0,0.0,"('joe biden', 'PERSON'), ('ronald reagan', 'PERSON'), ('last day', 'DATE')",3
Kirsten Gillibrand,many law enforcement agencies didn t submit their  hate crime  data to the fbi,true,78,14,4.5,12.0,12.0,12.0,12.0,12.0,-0.802,"('fbi', 'ORG')",1
Paul Ryan,wow county swing suburban voters  in wisconsin  don t vote for donald trump,true,75,13,4.6923076923076925,11.0,11.0,11.0,11.0,11.0,0.5859,"('wisconsin', 'GPE'), ('donald trump', 'PERSON')",2
Ron DeSantis,manhattan district attorney alvin bragg  has downgraded over     of the felonies to misdemeanors,true,96,13,6.076923076923077,10.0,10.0,10.0,10.0,10.0,-0.5423,"('manhattan', 'GPE'), ('alvin bragg  ', 'PERSON')",2
Fentrice Driskell,of every     ron desantis  spends comes from the federal government,true,67,10,5.3,8.0,8.0,8.0,8.0,8.0,0.0,"('ron desantis', 'PERSON')",1
Robert Ortt,if new york s proposed limits on natural gas in buildings take effect  the grid today can t handle the increased electric load,true,126,23,4.478260869565218,19.0,19.0,19.0,19.0,19.0,0.5574,"('new york', 'GPE'), ('today', 'DATE')",2
Tony Evers,wisconsin is the nation s top cranberry producer   in fact  our farmers harvest around    percent of the country s crop,true,119,20,4.7,16.0,16.0,16.0,16.0,16.0,0.2023,"('wisconsin', 'ORG')",1
Morgan Luttrell,biden drained america s strategic petroleum reserves to the lowest level since,true,78,12,5.583333333333333,10.0,10.0,10.0,10.0,10.0,-0.6249,"('biden drained america', 'ORG')",1
Melissa Agard,historically  our spring elections  including for state supreme court  have a smaller turnout associated with them,true,114,16,6.0,12.0,12.0,12.0,12.0,12.0,0.5574,"('supreme court', 'ORG')",1
Tammy Baldwin,latina workers make    cents for every dollar earned by white  non hispanic men,true,79,13,4.846153846153846,11.0,11.0,11.0,11.0,11.0,0.0,"('latina workers make', 'PERSON'), ('hispanic', 'NORP')",2
Kevin Brady,joe biden s     billion for a union pension fund is  the largest private pension bailout in american history,true,108,18,4.777777777777778,15.0,15.0,15.0,15.0,15.0,-0.1027,"('joe biden s', 'PERSON'), ('american', 'NORP')",2
Elise Stefanik,proposed rule would limit milk for wic participants,true,51,8,5.5,6.0,6.0,6.0,6.0,6.0,0.0,,0
Bryan Steil,in milwaukee   the  homicide  rate has nearly doubled in the past two years,true,75,13,4.538461538461538,9.0,9.0,9.0,9.0,9.0,0.0,"('milwaukee', 'GPE'), ('the past two years', 'DATE')",2
Joe Biden,gas prices are down back to where they were before russia invaded ukraine,true,73,13,4.6923076923076925,9.0,9.0,9.0,9.0,9.0,0.0,"('russia', 'GPE')",1
Joe Manchin,west virginia is poised to  receive    m for     orphaned well clean up projects across the state,true,97,16,4.625,12.0,12.0,12.0,12.0,12.0,0.7003,"('west virginia', 'GPE')",1
Everytown for Gun Safety,kari lake is opposed to red flag laws,true,37,8,3.75,7.0,7.0,7.0,7.0,7.0,0.0,"('kari lake', 'PERSON')",1
Lorraine Lewandrowski,it s not currently  legal for a new york state student to have a glass of fresh whole milk,true,90,19,3.736842105263158,15.0,15.0,15.0,15.0,15.0,0.2335,"('new york', 'GPE')",1
Mandela Barnes,since       ceo compensation rose over        and only       for average workers,true,80,10,5.2,6.0,6.0,6.0,6.0,6.0,0.0,,0
Tim Kaine,new haven  conn   had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement,true,125,23,4.3478260869565215,17.0,17.0,17.0,17.0,17.0,-0.1027,"('conn   ', 'GPE')",1
Wisconsin Republican Legislative leaders,wisconsin s         budget produced the first positive general fund balance since       and the governor s proposed         budget would return it to a deficit,true,159,23,5.0,18.0,18.0,18.0,18.0,18.0,0.2263,"('wisconsin s         ', 'ORG'), ('first', 'ORDINAL')",2
Robert Martwick,opposition to having a fully elected chicago board of education is in the  super minority,true,89,15,4.933333333333334,12.0,12.0,12.0,12.0,12.0,0.5994,"('chicago', 'GPE')",1
Greg Abbott,we now have more job openings than we do people who are on unemployment  we have     more job openings today than we did the month before the pandemic hit the state of texas,true,173,33,4.121212121212121,23.0,23.0,23.0,23.0,23.0,-0.4404,"('today', 'DATE'), ('the month', 'DATE'), ('texas', 'GPE')",3
Lindsay James,there are more job openings than there are people on unemployment  in iowa,true,74,13,4.6923076923076925,8.0,8.0,8.0,8.0,8.0,-0.4404,"('iowa', 'GPE')",1
Jeff Jackson,says he was  one of the    state senators  who voted against  north carolina s body camera law,true,94,17,4.235294117647059,12.0,12.0,12.0,12.0,12.0,0.0,"('one', 'CARDINAL'), ('north carolina', 'GPE')",2
Kevin Kiley,san francisco had twice as many drug overdose deaths as covid deaths last year,true,78,14,4.642857142857143,13.0,13.0,13.0,13.0,13.0,0.0,"('san francisco', 'GPE'), ('last year', 'DATE')",2
Kirk Cox,on virginia s new marijuana law   you can have up to one pound with only a     fine,true,83,17,3.588235294117647,10.0,10.0,10.0,10.0,10.0,0.2023,"('virginia', 'GPE'), ('marijuana', 'PERSON')",2
Van Wanggaard,foxconn  is the largest taxpayer in racine county,true,49,8,5.125,7.0,7.0,7.0,7.0,7.0,0.0,"('foxconn', 'GPE')",1
Zach Wahls,the federal american rescue plan will purchase more food from farmers for distribution,true,86,13,5.6923076923076925,10.0,10.0,10.0,10.0,10.0,0.5106,"('american', 'NORP')",1
Pete Buttigieg,there is racism physically built into some of our highways,true,58,10,4.9,6.0,6.0,6.0,6.0,6.0,-0.6249,,0
Greg Abbott,twice as many children are in border patrol custody under biden than trump peak in,true,82,15,4.533333333333333,11.0,11.0,11.0,11.0,11.0,0.0,,0
Facebook posts,u s  rep  matt gaetz was the lone vote in the house against an anti human trafficking bill,true,90,18,3.9444444444444446,16.0,16.0,16.0,16.0,16.0,-0.5267,"('matt', 'PERSON')",1
Tony Evers,there s still  only  a handful of school districts  doing no in person instruction,true,82,14,4.714285714285714,12.0,12.0,12.0,12.0,12.0,-0.296,,0
Jim Justice,west virginia  is the only state to decline in population over the last    years,true,80,14,4.5,11.0,11.0,11.0,11.0,11.0,0.0,"('west virginia', 'GPE'), ('the last    years', 'DATE')",2
Terry McAuliffe,if you look at the average teacher pay compared to the average pay of your citizens  virginia ranks last,true,104,19,4.473684210526316,13.0,13.0,13.0,13.0,13.0,-0.2023,"('virginia', 'GPE')",1
Barbara Dittrich,pot today is not the weed baby boomers were smoking,true,51,10,4.2,10.0,10.0,10.0,10.0,10.0,0.0,"('today', 'DATE')",1
Beth Wessel-Kroeschell,of americans and     of gun owners support requiring all gun buyers to pass a background check,true,94,16,4.6875,12.0,12.0,12.0,12.0,12.0,-0.2732,"('americans', 'NORP')",1
Facebook posts,the georgia house passed a bill that  makes it a misdemeanor to give food or water to voters waiting in line,true,108,21,4.142857142857143,15.0,15.0,15.0,15.0,15.0,0.0,"('the georgia house', 'ORG')",1
Chuck Todd,the filibuster was never an idea of the founding fathers,true,56,10,4.7,9.0,9.0,9.0,9.0,9.0,0.0,,0
Energy Transfer,pipelines do not freeze  they are naturally insulated  they re buried beneath the ground,true,88,14,5.214285714285714,11.0,11.0,11.0,11.0,11.0,-0.0382,,0
Chris Kapenga,the national academy of medicine points to a significant correlation between marijuana and psychosis  schizophrenia  and other psychotic disorders  particularly in teenagers where the risk of developing schizophrenia increases three fold,true,237,31,6.580645161290323,22.0,22.0,22.0,22.0,22.0,-0.0772,"('the national academy of medicine points', 'ORG'), ('marijuana', 'PERSON'), ('three', 'CARDINAL')",3
Tom Cotton,becerra supports bernie s government takeover of your health care  eliminating your employer provided coverage,true,110,15,6.333333333333333,12.0,12.0,12.0,12.0,12.0,0.6908,"('bernie s', 'PERSON')",1
Tom Wolf,we re the only major gas producing state in the us that doesn t have a severance tax,true,84,18,3.7222222222222223,14.0,14.0,14.0,14.0,14.0,0.0,"('us', 'GPE'), ('doesn', 'GPE')",2
Cory Booker,there is a direct connection between discriminatory policies within the usda and the enormous land loss we have seen among black farmers over the past century,true,158,26,5.115384615384615,19.0,19.0,19.0,19.0,19.0,-0.3182,"('the past century', 'DATE')",1
Beto O'Rourke,energy experts and state house dems  among others  were warning of this  the texas power blackout  for years,true,108,18,4.833333333333333,14.0,14.0,14.0,14.0,14.0,-0.0772,"('dems', 'NORP'), ('texas', 'GPE'), ('years', 'DATE')",3
Facebook posts,the texas power grid is not part of the us power grid because they wanted to avoid federal regulation,true,101,19,4.368421052631579,14.0,14.0,14.0,14.0,14.0,-0.296,"('texas', 'GPE'), ('us', 'GPE')",2
Gordon Hintz,we know mask mandates work  there s enough evidence out there between counties that have done it and counties that haven t,true,122,22,4.545454545454546,15.0,15.0,15.0,15.0,15.0,0.0,,0
Chuck Grassley,insulin prices have  gone thru the roof for patients taxpayers bc of manufacturer  health plan   pbm biz practices,true,114,18,5.166666666666667,15.0,15.0,15.0,15.0,15.0,0.0,,0
Jenna Wadsworth,north carolina secretary of state elaine marshall  has won more statewide races than probably anyone else alive,true,111,17,5.529411764705882,15.0,15.0,15.0,15.0,15.0,0.743,"('north carolina', 'GPE')",1
Jennifer Boysko,the united states is the only industrialized  modernized country that does not already have a paid family medical leave program in place,true,136,22,5.181818181818182,20.0,20.0,20.0,20.0,20.0,0.3818,"('the united states', 'GPE')",1
Marco Rubio,says joe biden  has issued more executive fiats than anyone in such a short period of time  ever  more than obama  more than trump  more than anyone,true,148,27,4.333333333333333,21.0,21.0,21.0,21.0,21.0,0.0,"('joe biden  ', 'PERSON')",1
Tony Evers,we put      million in general school aids   the largest in more than a decade,true,78,14,4.142857142857143,8.0,8.0,8.0,8.0,8.0,0.0,"('more than a decade', 'DATE')",1
Pat Toomey,there will be several thousand dollars in payments going to families with six figure incomes who ve had no income interruption whatsoever,true,137,22,5.2727272727272725,14.0,14.0,14.0,14.0,14.0,-0.5719,"('several thousand dollars', 'MONEY'), ('six', 'CARDINAL')",2
Kirk Cox,virginia ranks  in the bottom third of states  in administering the covid    vaccine,true,84,13,5.153846153846154,10.0,10.0,10.0,10.0,10.0,0.0,"('virginia', 'GPE'), ('third', 'ORDINAL')",2
Devin LeMahieu,it takes quite a while on election day to load those ballots  which is why we have the   a m  or   a m  ballot dumping in milwaukee,true,131,27,3.6296296296296298,19.0,19.0,19.0,19.0,19.0,-0.3182,"('election day', 'DATE'), ('milwaukee', 'GPE')",2
Sarah Godlewski,it wasn t all women that lost jobs  in the december jobs report   it was mostly black and latina women  in fact  white women gained employment,true,142,26,4.3076923076923075,19.0,19.0,19.0,19.0,19.0,0.0772,"('december', 'DATE')",1
Jake Tapper,the second presidential impeachment of donald trump was  the most bipartisan impeachment in american history,true,108,15,6.2,13.0,13.0,13.0,13.0,13.0,0.0,"('second', 'ORDINAL'), ('american', 'NORP')",2
Sherrod Brown,summer  protesters outside the white house were met with tear gas  rubber bullets  a full militarized response  while     rioters were able to breach the capitol,true,161,25,5.16,21.0,21.0,21.0,21.0,21.0,-0.2263,"('summer', 'DATE'), ('the white house', 'ORG')",2
Kim Reynolds,before covid      more iowans  were  working than at any other time in our state history,true,88,15,4.466666666666667,10.0,10.0,10.0,10.0,10.0,0.0,"('iowans', 'NORP')",1
Mitch McConnell,this election actually was not unusually close,true,46,7,5.714285714285714,7.0,7.0,7.0,7.0,7.0,0.0,,0
